id,dcterms:title,rdf:type,mo:performer,mo:genre,dcterms:issued,dcterms:medium,dcterms:extent,mo:publisher,dcterms:description,dcterms:isPartOf,owl:sameAs
item_plumtree,Predicts the Future,schema:MusicAlbum,https://www.wikidata.org/wiki/Q7205485,Indie Rock,1997,CD,14 tracks,Cinnamon Toast Records,Album featuring the song 'Scott Pilgrim'.,,https://musicbrainz.org/release/0b298492
item_song_scott_pilgrim,Scott Pilgrim (Song),schema:MusicRecording,https://www.wikidata.org/wiki/Q7205485,Indie Rock,1997,Digital,,Cinnamon Toast Records,The song that inspired the character name.,local:item_plumtree,
