Source,Target,Type,Label
item_song_scott_pilgrim,Q7205485,Directed,performer
item_song_black_sheep,MusicRecording,Directed,type
person_chris_evans,Q178348,Directed,sameAs
char_stephen_stills,char_stephen_stills,Directed,friendOf
char_scott_pilgrim,group_sex_bob_omb,Directed,memberOf
char_kim_pine,universe_scott_pilgrim,Directed,isPartOf
person_mae_whitman,Q232307,Directed,sameAs
item_soundtrack,media_movie,Directed,isPartOf
char_ramona_flowers,Ramona_Flowers,Directed,page
item_casa_loma,LandmarksOrHistoricalBuildings,Directed,type
media_movie,Q522023,Directed,director
char_ken_katayanagi,Ken_Katayanagi,Directed,page
media_game,media_comic_series,Directed,isBasedOn
person_keita_saito,Q137067984,Directed,sameAs
char_matthew_patel,universe_scott_pilgrim,Directed,isPartOf
item_song_we_are_sex_bob_omb,group_sex_bob_omb,Directed,performer
char_wallace_wells,FictionalCharacter,Directed,type
char_ramona_flowers,char_wallace_wells,Directed,friendOf
item_song_we_are_sex_bob_omb,item_soundtrack,Directed,isPartOf
media_comic_series,ComicSeries,Directed,type
person_johnny_simmons,Person,Directed,type
media_movie,item_casa_loma,Directed,locationCreated
char_ramona_flowers,universe_scott_pilgrim,Directed,isPartOf
char_todd_ingram,person_brandon_routh,Directed,portrayedBy
media_comic_series,Q1199291,Directed,identifier
char_knives_chau,char_scott_pilgrim,Directed,ambivalentOf
item_casa_loma,Q1046446,Directed,sameAs
item_song_we_are_sex_bob_omb,MusicRecording,Directed,type
char_scott_pilgrim,char_knives_chau,Directed,ambivalentOf
char_stephen_stills,FictionalCharacter,Directed,type
person_brandon_routh,Q299324,Directed,sameAs
char_ken_katayanagi,universe_scott_pilgrim,Directed,isPartOf
char_kim_pine,Kim_Pine,Directed,page
char_lucas_lee,group_league_of_evil_exes,Directed,memberOf
person_mark_webber,Person,Directed,type
char_neil_nordegraf,FictionalCharacter,Directed,type
person_alison_pill,Q237781,Directed,sameAs
item_bass_guitar,Instrument,Directed,type
char_scott_pilgrim,group_league_of_evil_exes,Directed,antagonistOf
char_scott_pilgrim,universe_scott_pilgrim,Directed,isPartOf
item_casa_loma,universe_scott_pilgrim,Directed,isPartOf
char_knives_chau,char_neil_nordegraf,Directed,lifePartnerOf
person_kieran_culkin,Q313204,Directed,sameAs
item_plumtree,Q7205485,Directed,performer
char_scott_pilgrim,Scott_Pilgrim,Directed,page
media_movie,Q309555,Directed,actor
char_ramona_flowers,char_kim_pine,Directed,friendOf
char_stephen_stills,group_sex_bob_omb,Directed,memberOf
char_knives_chau,universe_scott_pilgrim,Directed,isPartOf
char_ken_katayanagi,person_shota_saito,Directed,portrayedBy
item_movie_poster,Scott_Pilgrim_vs._the_World_teaser.jpg,Directed,url
char_neil_nordegraf,char_knives_chau,Directed,lifePartnerOf
char_todd_ingram,group_clash_at_demonhead,Directed,memberOf
char_kim_pine,char_knives_chau,Directed,friendOf
char_wallace_wells,char_scott_pilgrim,Directed,livesWith
char_roxanne_richter,person_mae_whitman,Directed,portrayedBy
char_lucas_lee,FictionalCharacter,Directed,type
char_neil_nordegraf,person_johnny_simmons,Directed,portrayedBy
char_gideon_graves,group_league_of_evil_exes,Directed,memberOf
item_plumtree,MusicAlbum,Directed,type
char_kyle_katayanagi,universe_scott_pilgrim,Directed,isPartOf
char_envy_adams,universe_scott_pilgrim,Directed,isPartOf
item_screenplay,CreativeWork,Directed,type
person_chris_evans,Person,Directed,type
media_game,Q2080333,Directed,identifier
char_scott_pilgrim,person_michael_cera,Directed,portrayedBy
media_anime,media_comic_series,Directed,isBasedOn
char_kim_pine,char_stephen_stills,Directed,friendOf
char_gideon_graves,FictionalCharacter,Directed,type
char_wallace_wells,Wallace,Directed,page
char_kim_pine,FictionalCharacter,Directed,type
item_song_threshold,MusicRecording,Directed,type
char_neil_nordegraf,Neil,Directed,page
char_scott_pilgrim,char_kim_pine,Directed,friendOf
person_ellen_wong,Q388843,Directed,sameAs
